"id","name","description","price","shop","brand","labels"
8716,"Herren Smokinghemd Haikragen weiss Langarm tailliert Hai Umschlagmanschette Elegant unifarben","Modisches Hemd bei Herrenausstatter: Elegantes Hemd von Botthof Auf besonderes Design, Individualität und Eleganz wird bei Botthof großen Wert gelegt, zudem überzeugen die Hemden durch erstklassige Qualität in Material und Verarbeitung. Mit verdeckter Knopfleiste und Umschlagmanschette ist das Hemd besonders elegant und bestens für offizielle und festliche Anlässe geeignet. Slim  dezent schmal und tailliert geschnittenes Hemd. Haikragen mit herausnehmbaren Kragenstäbchen. Verdeckte Knopfleiste. Schulterpasse ohne Rückenfalte. Umschlagmanschette mit abnehmbarem KordelManschettenknopf in Schwarz. Maße: Bei Gr. 39/40 Brustweite ca. 110 cm, Taillenweite ca. 104 cm, Rückenlänge ca. 77 cm. Material: 70% Baumwolle und 30% Polyester in feiner PopelineQualität. Farbe: Weiß. Kombination: Ideal für Schleifen und Plastrons, klassisch zum Smoking mit schwarzer Fliege bei sogenannten Black tie  Veranstaltungen.",84.94999694824219,"Herrenausstatter","Herrenausstatter.de","Bekleidung,Hemden,Business Hemden,Haifischkragen Hemden,Langarm Hemden,Smokinghemden"
9052,"Herren Jockey Midway Brief weiss unifarben","Jockeys feinste Baumwollqualität in modernem Design Weich, anschmiegsam und doch robust genug, damit man die Unterwäsche unbesorgt in den Trockner geben kann. Form/Verarbeitung: Medium Boxer  Short mit geradem Bein. Mit seitlichem Eingriff vorne. Bequemer Webgummibund in Weiß mit eingewebtem LogoSchriftzug. Der Beinausschnitt ist mit einem breiten Jerseybündchen eingefasst. Ohne Seitennähte. Material: 100% feine, luxuriöse Baumwolle in feiner Jerseyqualität. Farbe: Weiß.",24.950000762939453,"Herrenausstatter","Jockey","Bekleidung,Hosen,Kurze Hosen,Shorts,Wäsche,Unterhosen"
9057,"Herren Jockey TShirt weiss unifarben","TShirt von Jockey. Die Besonderheit bei Luxury Cotton ist die langstapelige und gasierte Baumwolle. Verarbeitet zu feinstem Feinripp besticht diese Linie durch flache Nähte. Gasierung ist ein industrielles Verfahren bei dem das Baumwollgarn eine besonders feine, glatte und klare Optik bekommt. Die Ausrüstung reduziert Verschmutzung und Pillinganfälligkeit. Schnitt: Klassischer körpernaher Schnitt mit verlängertem Rücken. Rundhalsausschnitt eingefasst. Saum im Rückteil verlängert und dezent geschwungen. Ohne Seitennähte, flache Schulternähte, für perfekten Tragekomfort. Hinten etwas länger geschnitten. Material: 100% mercerisierte, gasierte Baumwolle in feiner Jersey Qualität. Textil Schadstoffgeprüft nach ÖkoTex Standard 100. Pflegehinweis: Maschinenwäsche bei 60°C. Für den Trockner geeignet. Bügeln auf mittlerer Stufe. Bitte nicht chemisch reinigen. Bitte Pflegeetikett beachten. Farbe: Weiß.",24.950000762939453,"Herrenausstatter","Jockey","Bekleidung,Shirts,TShirts,Wäsche,Unterhemden,Kurzarm Unterhemd"
9395,"Herren Jockey Jerseyhemd hellblau Langarm Kent Sportmanschette Trendig unifarben","Modisches Hemd bei Herrenausstatter: Hemd im BaumwollMix von Jockey Klassisches Design, aktuelle Farbe und ein luftig leichter MaterialMix: Dieses Hemd ist ein tolles CasualBasic. Passt perfekt zu Chino und Jeans, ein sportives LeinenSakko rundet den Look ab. Schnitt/Verarbeitung: JerseyHemd in lockerem, bequemem Schnitt, mit langem Arm. Klassischer Kentkragen. Gedoppelte Rückenpasse. Mit durchgehender Knopfleiste zu schließen. Eine geknöpfte Brusttasche links, mit LabelStick. Weitenverstellbare Manschette mit zwei Knöpfen, abgeschrägte Ecken. Gerader Saum. Maße: Bei Größe M Rückenlänge ca. 78 cm, Brustweite ca. 116 cm. Material: 60% Baumwolle und 40% Polyester  in angenehm leichter JerseyQualität. Farbe: Hellblau.",39.95000076293945,"Herrenausstatter","Jockey","Bekleidung,Hemden,Business Hemden,Kentkragen Hemden,Freizeithemden,Langarm Hemden"
9611,"Herren HOM VShirt Hilary schwarz unifarben","Schlichtes TShirt von HOM Form: TShirt mit V Ausschnitt und Halbarm. Durch den rund gestrickten Rumpf hat dieses Shirt keine Seitennähte und ist angenehm locker geschnitten. Material: 100% gekämmte Baumwolle. Der hochwertige weiche Jersey ist erstklassig verarbeitet. Der VAusschnitt ist mit einem weichen Strickbündchen eingefasst und einfach abgesteppt. Farbe / Dessin: Schwarz. Waschbar bei 40°. Nicht für den Trockner geeignet.",19.950000762939453,"Herrenausstatter","HOM","Bekleidung,Shirts,TShirts,VShirts,Wäsche,Unterhemden,Kurzarm Unterhemd"
11662,"Herren Hiltl Hose MilanoU lichtgrau","Modische Hose bei Herrenausstatter: Milano U. Superior SchurwollHose in lichtgrau Hiltl FormenNr. 338 Modische Bundfaltenhose mit einer Bundfalte, schräggestellte Doppelpaspeltaschen, doppelt paspelierte Gesäßtaschen, schlanker Beinverlauf mit Umschlag (4,5 cm). Farbe: lichtgrau Maße: Fußweite bei Größe 52: ca. 46 cm Aus der Superior Linie von Hiltl. Das bedeutet für Sie: Einsatz australischer Merinowolle in Super100sQualität  das exakte, feinfädige und luxuriöse Stoffbild sowie die hohe Garnfeinheit und Strapazierfähigkeit beeindrucken bei diesem Modell. Die Stoffe werden besonderen Prüfungen auf Reiß, Schweiß, Wasch bzw. Reinigungs und Bügelfestigkeit unterworfen. Herkunft und Qualität werden strengstens kontrolliert. Hohle, ausgebügelte Gürtelschlaufen Echte Hornknöpfe",129.9499969482422,"Herrenausstatter","Hiltl","Bekleidung,Anzüge,Anzughosen,Hosen,Stoffhosen,Bundfaltenhosen"
11763,"Herren Hiltl Hose MilanoU schwarz","Modische Hose bei Herrenausstatter: Milano U. Superior SchurwollHose in schwarz An dieser Hose können Sie erkennen, daß Hiltl eine nur sehr selten am Markt angebotene Qualität herstellt: bei diesem hochwertigen WollKlassiker handelt es sich um eine Super 110sQualität, ein besonders feines Special SelectionGarn des italienischen Premiumherstellers Vitale Barberis Canonico. Für den Kenner die Details: im Kettfaden ist 2fach 74iger Garn verarbeitet, der Kettfaden selbst ist verzwirnt. Im Schussfaden wurde 1fach 56iger Garn verarbeitet. Die Garnfeinheit beträgt 18,10 Micron und ist somit sehr, sehr fein. Den Stoff zeichnet ein feiner, exklusiver WollSchimmer und ein wahrhaft unvergleichlich seidigweicher Griff aus. Modischer Klassiker: Bundfaltenhose mit einer Bundfalte, schräggestellte Doppelpaspeltaschen, doppelt paspelierte Gesäßtaschen, schlanker Beinverlauf mit Umschlag (4,5 cm). Farbe: tiefschwarz Pflegehinweis: bitte in die Reinigung geben! Die besonderen Verarbeitungsmerkmale der Hiltl Stoffhosen finden Sie hier im Detail: bitte klicken. Aus der Superior Linie von Hiltl. Das bedeutet für Sie: Die Stoffe werden besonderen Prüfungen auf Reiß, Schweiß, Wasch bzw. Reinigungs und Bügelfestigkeit unterworfen. Herkunft und Qualität werden strengstens kontrolliert. Hohle, ausgebügelte Gürtelschlaufen Echte Hornknöpfe",169.9499969482422,"Herrenausstatter","Hiltl","Bekleidung,Anzüge,Anzughosen,Hosen,Stoffhosen,Bundfaltenhosen"
11764,"Herren Hiltl Hose MilanoU anthrazit","Modische Hose bei Herrenausstatter: Milano U. Superior SchurwollHose in anthrazit An dieser Hose können Sie erkennen, daß Hiltl eine nur sehr selten am Markt angebotene Qualität herstellt: bei diesem hochwertigen WollKlassiker handelt es sich um eine Super 110sQualität, ein besonders feines Special SelectionGarn des italienischen Premiumherstellers Vitale Barberis Canonico. Für den Kenner die Details: im Kettfaden ist 2fach 74iger Garn verarbeitet, der Kettfaden selbst ist verzwirnt. Im Schussfaden wurde 1fach 56iger Garn verarbeitet. Die Garnfeinheit beträgt 18,10 Micron und ist somit sehr, sehr fein. Den Stoff zeichnet ein feiner, exklusiver WollSchimmer und ein wahrhaft unvergleichlich seidigweicher Griff aus. Modischer Klassiker: Bundfaltenhose mit einer Bundfalte, schräggestellte Doppelpaspeltaschen, doppelt paspelierte Gesäßtaschen, schlanker Beinverlauf mit Umschlag (4,5 cm). Farbe: klassisches anthrazitgrau Pflegehinweis: bitte in die Reinigung geben! Die besonderen Verarbeitungsmerkmale der Hiltl Stoffhosen finden Sie hier im Detail: bitte klicken. Aus der Superior Linie von Hiltl. Das bedeutet für Sie: Die Stoffe werden besonderen Prüfungen auf Reiß, Schweiß, Wasch bzw. Reinigungs und Bügelfestigkeit unterworfen. Herkunft und Qualität werden strengstens kontrolliert. Hohle, ausgebügelte Gürtelschlaufen Echte Hornknöpfe",169.9499969482422,"Herrenausstatter","Hiltl","Bekleidung,Anzüge,Anzughosen,Hosen,Stoffhosen,Bundfaltenhosen"
11765,"Herren Hiltl Hose MilanoU graphit","Modische Hose bei Herrenausstatter: Milano U. Superior SchurwollHose in graphitgrau An dieser Hose können Sie erkennen, daß Hiltl eine nur sehr selten am Markt angebotene Qualität herstellt: bei diesem hochwertigen WollKlassiker handelt es sich um eine Super 110sQualität, ein besonders feines Special SelectionGarn des italienischen Premiumherstellers Vitale Barberis Canonico. Für den Kenner die Details: im Kettfaden ist 2fach 74iger Garn verarbeitet, der Kettfaden selbst ist verzwirnt. Im Schussfaden wurde 1fach 56iger Garn verarbeitet. Die Garnfeinheit beträgt 18,10 Micron und ist somit sehr, sehr fein. Den Stoff zeichnet ein feiner, exklusiver WollSchimmer und ein wahrhaft unvergleichlich seidigweicher Griff aus. Modischer Klassiker: Bundfaltenhose mit einer Bundfalte, schräggestellte Doppelpaspeltaschen, doppelt paspelierte Gesäßtaschen, schlanker Beinverlauf mit Umschlag (4,5 cm). Farbe: modisches graphitgrau, es ist etwas heller als anthrazitgrau Pflegehinweis: bitte in die Reinigung geben! Die besonderen Verarbeitungsmerkmale der Hiltl Stoffhosen finden Sie hier im Detail: bitte klicken. Aus der Superior Linie von Hiltl. Das bedeutet für Sie: Die Stoffe werden besonderen Prüfungen auf Reiß, Schweiß, Wasch bzw. Reinigungs und Bügelfestigkeit unterworfen. Herkunft und Qualität werden strengstens kontrolliert. Hohle, ausgebügelte Gürtelschlaufen Echte Hornknöpfe",169.9499969482422,"Herrenausstatter","Hiltl","Bekleidung,Anzüge,Anzughosen,Hosen,Stoffhosen,Bundfaltenhosen"
11766,"Herren Hiltl Hose MilanoU marine","Modische Hose bei Herrenausstatter: Milano U. Superior SchurwollHose in marineblau An dieser Hose können Sie erkennen, daß Hiltl eine nur sehr selten am Markt angebotene Qualität herstellt: bei diesem hochwertigen WollKlassiker handelt es sich um eine Super 110sQualität, ein besonders feines Special SelectionGarn des italienischen Premiumherstellers Vitale Barberis Canonico. Für den Kenner die Details: im Kettfaden ist 2fach 74iger Garn verarbeitet, der Kettfaden selbst ist verzwirnt. Im Schussfaden wurde 1fach 56iger Garn verarbeitet. Die Garnfeinheit beträgt 18,10 Micron und ist somit sehr, sehr fein. Den Stoff zeichnet ein feiner, exklusiver WollSchimmer und ein wahrhaft unvergleichlich seidigweicher Griff aus. Modischer Klassiker: Bundfaltenhose mit einer Bundfalte, schräggestellte Doppelpaspeltaschen, doppelt paspelierte Gesäßtaschen, schlanker Beinverlauf mit Umschlag (4,5 cm). Farbe: dunkles, intensives marineblau. Pflegehinweis: bitte in die Reinigung geben! Die besonderen Verarbeitungsmerkmale der Hiltl Stoffhosen finden Sie hier im Detail: bitte klicken. Aus der Superior Linie von Hiltl. Das bedeutet für Sie: Die Stoffe werden besonderen Prüfungen auf Reiß, Schweiß, Wasch bzw. Reinigungs und Bügelfestigkeit unterworfen. Herkunft und Qualität werden strengstens kontrolliert. Hohle, ausgebügelte Gürtelschlaufen Echte Hornknöpfe",169.9499969482422,"Herrenausstatter","Hiltl","Bekleidung,Anzüge,Anzughosen,Hosen,Stoffhosen,Bundfaltenhosen"
